,Timestamp,Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
134,2021-02-15 13:50:28.277,0.123344,2.691104,9.608519,0.014171,0.011168,-0.020067,-19.947018,-5.757856,-41.806427,-90.253415,-15.496628,-0.562046,Sitting
135,2021-02-15 13:50:28.327,0.042512,2.646048,9.517957,-0.003479,0.003013,-0.024021,-19.815586,-5.650043,-41.864746,-90.261206,-15.513583,-0.555423,Sitting
136,2021-02-15 13:50:28.378,0.095202,2.603985,9.665999,0.003417,0.013923,-0.005056,-19.868357,-5.886187,-41.907013,-90.203125,-15.525824,-0.532523,Sitting
137,2021-02-15 13:50:28.428,0.060774,2.710713,9.510323,0.00334,0.024071,-0.012758,-19.844294,-5.673042,-41.968048,-90.209558,-15.507317,-0.546461,Sitting
138,2021-02-15 13:50:28.478,0.092957,2.64964,9.619147,0.020427,-0.003131,-0.006742,-19.842056,-5.691416,-41.86496,-90.190456,-15.521901,-0.503696,Sitting
139,2021-02-15 13:50:28.528,0.095202,2.650239,9.595197,-0.000907,0.007128,-0.009527,-19.776424,-5.643185,-41.851105,-90.187932,-15.524757,-0.518402,Sitting
140,2021-02-15 13:50:28.578,0.058828,2.642455,9.618249,0.020782,0.001457,-0.009848,-20.082363,-5.549683,-41.852234,-90.18842,-15.54984,-0.491509,Sitting
141,2021-02-15 13:50:28.629,0.143551,2.652933,9.551937,-0.000785,0.002544,-0.0175,-20.040012,-5.522543,-41.892334,-90.197541,-15.556845,-0.512995,Sitting
142,2021-02-15 13:50:28.679,0.07709,2.672692,9.688453,0.017327,0.001065,-0.010724,-19.880692,-5.720955,-41.874451,-90.22187,-15.562019,-0.524333,Sitting
143,2021-02-15 13:50:28.729,0.079784,2.685865,9.495953,0.004022,0.00717,-0.013552,-20.118835,-5.491503,-41.790833,-90.217963,-15.567254,-0.534653,Sitting
144,2021-02-15 13:50:28.779,0.044607,2.673291,9.630374,0.016421,0.001982,-0.001362,-20.077694,-5.732422,-41.867523,-90.210551,-15.585324,-0.543204,Sitting
145,2021-02-15 13:50:28.829,0.133073,2.662962,9.577533,0.012372,0.008086,-0.014379,-20.049738,-5.768602,-41.964447,-90.231859,-15.594196,-0.54762,Sitting
146,2021-02-15 13:50:28.880,0.118553,2.676285,9.557924,0.011227,0.002997,-0.009291,-19.995319,-5.693666,-42.115784,-90.228086,-15.611313,-0.548759,Sitting
147,2021-02-15 13:50:28.930,0.065414,2.726879,9.627679,0.0062,0.008765,-0.01096,-19.977337,-5.848553,-41.907318,-90.215721,-15.633052,-0.554289,Sitting
148,2021-02-15 13:50:28.980,0.069755,2.665806,9.549841,0.018966,-0.002137,-0.0115,-20.000343,-5.823217,-41.933563,-90.213089,-15.635994,-0.551486,Sitting
149,2021-02-15 13:50:29.030,0.067061,2.712509,9.563912,0.008344,0.009994,-0.006226,-19.943396,-5.797604,-41.760162,-90.191408,-15.676364,-0.563034,Sitting
